City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Beyneu,KZ,45.3167,55.2,34.65,93,100,8.84,overcast clouds
79,Bethanien,NA,-26.502,17.1583,72.63,34,75,10.89,broken clouds
80,Along,IN,28.1667,94.7667,58.17,52,94,1.23,overcast clouds
81,Portland,US,45.5234,-122.6762,42.01,74,83,3.44,broken clouds
82,Airai,TL,-8.9266,125.4092,67.91,98,100,3.04,moderate rain
83,Kruisfontein,ZA,-34.0033,24.7314,64.99,90,100,5.01,overcast clouds
84,Moose Factory,CA,51.2585,-80.6094,-11.2,70,1,4.61,clear sky
85,Karratha,AU,-20.7377,116.8463,95.34,30,57,16.96,broken clouds
86,Kapaa,US,22.0752,-159.319,75.2,83,40,16.11,light rain
87,Yellowknife,CA,62.456,-114.3525,-31.0,75,20,3.44,few clouds
88,Jimeta,NG,9.2833,12.4667,67.14,25,79,1.77,broken clouds
89,Saskylakh,RU,71.9167,114.0833,-34.69,81,24,6.35,few clouds
90,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,20,19.57,few clouds
91,Vaini,TO,-21.2,-175.2,82.4,83,75,8.05,light rain
92,Cidreira,BR,-30.1811,-50.2056,75.65,83,0,16.89,clear sky
93,Mareeba,AU,-17.0,145.4333,88.0,62,40,17.27,scattered clouds
94,Buin,CL,-33.7333,-70.75,73.0,60,0,6.91,clear sky
95,Lima,PE,-12.0432,-77.0282,77.0,83,40,6.91,scattered clouds
96,Teluknaga,ID,-6.0989,106.6381,81.0,94,90,4.61,moderate rain
97,Isangel,VU,-19.55,169.2667,82.4,89,90,5.82,overcast clouds
98,Marang,MY,5.2056,103.2059,80.6,83,40,2.3,scattered clouds
99,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,13.8,clear sky
100,Vallenar,CL,-28.5708,-70.7581,64.69,56,0,1.59,clear sky
101,Nanortalik,GL,60.1432,-45.2371,22.12,88,0,9.62,clear sky
102,Banjarmasin,ID,-3.3244,114.591,86.0,70,40,5.75,scattered clouds
103,Walvis Bay,NA,-22.9575,14.5053,70.0,94,100,3.44,light rain
104,Katsuura,JP,35.1333,140.3,44.01,93,75,20.71,light rain
105,Barcelona,ES,41.3888,2.159,57.99,67,0,9.22,clear sky
106,Upernavik,GL,72.7868,-56.1549,20.73,85,100,7.65,overcast clouds
107,Hasaki,JP,35.7333,140.8333,43.0,100,75,17.27,light rain
108,Imbituba,BR,-28.24,-48.6703,75.2,94,75,6.91,broken clouds
109,Tiksi,RU,71.6872,128.8694,-40.79,79,43,4.56,scattered clouds
110,Erenhot,CN,43.6475,111.9767,17.37,93,0,7.85,clear sky
111,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,9.22,clear sky
112,Beira,MZ,-19.8436,34.8389,78.44,78,100,13.18,overcast clouds
113,Bontang,ID,0.1333,117.5,85.87,64,91,4.9,overcast clouds
114,Carnarvon,AU,-24.8667,113.6333,82.4,47,75,14.97,broken clouds
115,East London,ZA,-33.0153,27.9116,68.0,83,20,14.97,light rain
116,Scottsbluff,US,41.8666,-103.6672,26.6,86,90,4.61,light snow
117,Teguldet,RU,57.3064,88.1667,-12.03,89,100,5.84,overcast clouds
118,Goderich,CA,43.7501,-81.7165,19.4,86,100,6.91,overcast clouds
119,Healesville,AU,-37.65,145.5167,99.0,31,100,3.98,overcast clouds
120,Norman Wells,CA,65.282,-126.8329,-14.8,84,90,5.75,overcast clouds
121,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,14.97,scattered clouds
122,Mizan Teferi,ET,6.9833,35.5833,63.45,60,23,2.42,few clouds
123,Bonthe,SL,7.5264,-12.505,74.73,89,0,5.39,clear sky
124,Puerto Leguizamo,CO,-0.1934,-74.7819,71.08,97,100,2.21,overcast clouds
125,Kodiak,US,57.79,-152.4072,39.2,56,1,18.41,clear sky
126,Kavieng,PG,-2.5744,150.7967,85.37,63,71,5.57,broken clouds
127,Marrakesh,MA,31.6315,-8.0083,51.8,87,94,2.3,overcast clouds
128,Berbera,SO,10.4396,45.0143,73.8,74,77,3.78,broken clouds
129,Dicabisagan,PH,17.0818,122.4157,76.53,89,99,9.98,overcast clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,63,1.99,broken clouds
131,Chuy,UY,-33.6971,-53.4616,69.8,96,3,5.32,clear sky
132,Ferkessedougou,CI,9.6,-5.2,67.26,21,2,5.77,clear sky
133,Port Macquarie,AU,-31.4333,152.9167,90.0,41,0,1.99,clear sky
134,La Palma,US,33.8464,-118.0467,48.99,81,90,4.61,light rain
135,Mahebourg,MU,-20.4081,57.7,75.2,94,40,2.3,scattered clouds
136,Jalesar,IN,27.4833,78.3167,61.12,48,0,1.81,clear sky
137,Smithers,CA,54.7804,-127.1743,15.8,79,90,2.3,overcast clouds
138,Desoto,US,32.5899,-96.8569,52.0,93,90,8.05,mist
139,Port-Gentil,GA,-0.7193,8.7815,80.58,76,100,8.72,overcast clouds
140,Bogande,BF,12.9714,-0.1436,64.71,24,0,8.66,clear sky
141,Taoudenni,ML,22.6783,-3.9836,61.3,27,0,9.44,clear sky
